name,address,city,zipcode,winery_type,tasting_room,tasting_room_hours, ava
CORDOZA EVERETT A TR,641 HERRERIAS WAY,PETALUMA,94954,Production Only,NONE,,Petaluma Gap
ENRIQUEZ ESTATE WINERY,3066 ADOBE RD,PETALUMA,94954,Production/Tasting Room,APPT ONLY,8AM-5PM,Petaluma Gap
KASTANIA VINEYARDS,4415 KASTANIA RD,PETALUMA,94952,Production/Tasting Room,APPT ONLY,"NOON-4PM MO-FR;
10AM-5PM",Petaluma Gap
AZARI VINEYARDS,1399 SPRING HILL RD,PETALUMA,94952,Production Only,NONE,,Petaluma Gap
BRAREN PAULI WINERY,1611 SPRING HILL RD,PETALUMA,94952,Production Only,NONE,,Petaluma Gap
CLARY RANCH WINES WINE STORAGE,3641 MIDDLE TWO ROCK RD,PETALUMA,94952,Liquid Storage Only,NONE,,Petaluma Gap
SALTONSTALL ESTATE,2805 SPRING HILL RD,PETALUMA,94952,Production/Tasting Room,PUBLIC/APPT,"7AM-8PM SA/
7AM-8PM SU-FR",Petaluma Gap
BALISTRERI JOAQUIN,320 BOHEMIAN HWY,SEBASTOPOL,95472,Production Only,NONE,,Freestone-Occidental
KISTLER BODEGA RANCH WINERY,14715 BODEGA HWY,BODEGA,94922,Production/Tasting Room/Events,APPT ONLY,10AM-5PM MO-FR,Freestone-Occidental
GARRIC-LANGBEHN WINERY,5400 ALPINE RD,SANTA ROSA,95404,Production Only,NONE,,Not Applicable
MOON STAR WINERY,5580 ALPINE RD,SANTA ROSA,95404,Production Only,NONE,,Not Applicable
SPRING MOUNTAIN WEST VINEYARDS LLC,6999 ST HELENA RD,SANTA ROSA,95404,Production Only,NONE,,Not Applicable
FISHER VINEYARDS,6200 ST HELENA RD,SANTA ROSA,95404,Production Only,NONE,,Not Applicable
PRIDE MOUNTAIN VINEYARDS,3000 SUMMIT TR,SANTA ROSA,95404,Production/Tasting Room,APPT ONLY,10am-5pm,Not Applicable
ALEGRE DANIEL TR,4480 WALLACE RD,SANTA ROSA,95404,Production Only,NONE,,Not Applicable
